dandie dinmont terrier,1,Entre 8 Kg y 11 Kg,United Kingdom,http://www.perros.com/razas/dandie-dinmont-terrier/
deerhound escoces,3,Entre 34 Kg y 50 Kg,United Kingdom,http://www.perros.com/razas/deerhound-escoces/
doberman,3,Entre 32 Kg y 45 Kg,Germany,http://www.perros.com/razas/doberman/
dogo argentino,2,Alrededor de 40 Kg,Argentina,http://www.perros.com/razas/dogo-argentino/
dogo canario,2,Entre 40 Kg y 57 Kg,Spain,http://www.perros.com/razas/dogo-canario/
dogo de burdeos,2,Entre 36 Kg y 65 Kg,France,http://www.perros.com/razas/dogo-de-burdeos/
dogo mallorquin,3,Entre 30 Kg y 38 Kg,Spain,http://www.perros.com/razas/dogo-mallorquin/
drever,2,,Sweden,http://www.perros.com/razas/drever/
elkhound noruego,2,Entre 18 Kg y 28 Kg,Norway,http://www.perros.com/razas/elkhound-noruego/
epagneul breton,2,Entre 13 Kg y 15 Kg,France,http://www.perros.com/razas/epagneul-breton/
eurasier,2,Entre 18 Kg y 32 Kg,Germany,http://www.perros.com/razas/eurasier/
faraon hound,2,Entre 20 Kg y 23 Kg,Malta,http://www.perros.com/razas/faraon-hound/
field spaniel,2,Entre 16 Kg y 25 Kg,United Kingdom,http://www.perros.com/razas/field-spaniel/
fila brasileiro,3,Entre 30 Kg y 50 Kg,Brazil,http://www.perros.com/razas/fila-brasileiro/
fila de san miguel,3,Entre 20 Kg y 35 Kg,Portugal,http://www.perros.com/razas/fila-de-san-miguel/
fox terrier de pelo duro,2,Entre 1.5 Kg y 3 Kg,United Kingdom,http://www.perros.com/razas/fox-terrier-de-pelo-duro/
fox terrier de pelo liso,2,Entre 7 Kg y 8 Kg,United Kingdom,http://www.perros.com/razas/fox-terrier-de-pelo-liso/
fox terrier toy,1,Entre 1.5 Kg y 3 Kg,United States of America,http://www.perros.com/razas/fox-terrier-toy/
foxhound americano,3,Entre 29 Kg y 34 Kg,United States of America,http://www.perros.com/razas/foxhound-americano/
foxhound ingles,3,Entre 30 Kg y 32 Kg,United Kingdom,http://www.perros.com/razas/foxhound-ingles/
galgo espanol,3,Entre 20 Kg y 30 Kg,Spain,http://www.perros.com/razas/galgo-espanol/
galgo italiano,1,Entre 2.5 Kg y 4.5 Kg,Italy,http://www.perros.com/razas/galgo-italiano/
gascon saintongeois,1,,France,http://www.perros.com/razas/gascon-saintongeois/
glen of imaal terrier,2,,Ireland,http://www.perros.com/razas/glen-of-imaal-terrier/
golden retriever,3,Entre 27 Kg y 36 Kg,United Kingdom,http://www.perros.com/razas/golden-retriever/
gran basset grifon vendeano,2,,France,http://www.perros.com/razas/gran-basset-grifon-vendeano/
gran danes,gigante,Entre 50 Kg y 80 Kg,Germany,http://www.perros.com/razas/gran-danes/
greyhound,3,Entre 27 Kg y 32 Kg,United Kingdom,http://www.perros.com/razas/greyhound/
grifon belga,1,Entre 3.5 Kg y 6 Kg,Belgium,http://www.perros.com/razas/grifon-belga/
grifon de bruselas,1,Entre 3.5 Kg y 6 Kg,Belgium,http://www.perros.com/razas/grifon-de-bruselas/
grifon de muestra bohemio de pelo duro,3,Entre 22 Kg y 34 Kg,Czech Republic,http://www.perros.com/razas/grifon-de-muestra-bohemio-de-pelo-duro/
grifon de muestra eslovaco de pelo duro,3,,Czech Republic,http://www.perros.com/razas/grifon-de-muestra-eslovaco-de-pelo-duro/
grifon de muestra korthals de pelo duro,3,,France,http://www.perros.com/razas/grifon-de-muestra-korthals-de-pelo-duro/
hamilton stovare,3,Entre 22 Kg y 27 Kg,Sweden,http://www.perros.com/razas/hamilton-stovare/
harrier,2,Entre 22 Kg y 27 Kg,United Kingdom,http://www.perros.com/razas/harrier/
hokkaido,2,,Japan,http://www.perros.com/razas/hokkaido/
hovawart,3,Entre 25 Kg y 40 Kg,Germany,http://www.perros.com/razas/hovawart/
husky siberiano,3,Entre 15.5 Kg y 28 Kg,Russia,http://www.perros.com/razas/husky-siberiano/
irish soft coated wheaten terrier,2,Entre 18 Kg y 20.5 Kg,Ireland,http://www.perros.com/razas/irish-soft-coated-wheaten-terrier/
jack russell terrier,1,Entre 8 Kg y 10 Kg,United Kingdom,http://www.perros.com/razas/jack-russell-terrier/
jamthund,3,,Sweden,http://www.perros.com/razas/jamthund/
kai,2,,Japan,http://www.perros.com/razas/kai/
karjalankarhukoira,1,Entre 17 Kg y 28 Kg,Sweden,http://www.perros.com/razas/karjalankarhukoira/
keeshond,2,Entre 25 Kg y 30 Kg,Holanda,http://www.perros.com/razas/keeshond/
kerry blue terrier,2,Entre 14 Kg y 18 Kg,Ireland,http://www.perros.com/razas/kerry-blue-terrier/
kishu,2,,Japan,http://www.perros.com/razas/kishu/
komondor,3,Entre 40 Kg y 60 Kg,Hungary,http://www.perros.com/razas/komondor/
korea jinco dog,2,Entre 15 Kg y 23 Kg,Korea (North),http://www.perros.com/razas/korea-jinco-dog/
kromfohrlander,2,Entre 9 Kg y 16 Kg,Germany,http://www.perros.com/razas/kromfohrlander/
kuvasz,3,Entre 45 Kg y 71 Kg,Hungary,http://www.perros.com/razas/kuvasz/
labrador retriever,3,Entre 25 Kg y 36.4 Kg,Canada,http://www.perros.com/razas/labrador-retriever/
laika de siberia oriental,3,,Russia,http://www.perros.com/razas/laika-de-siberia-oriental/
laika ruso europeo,2,,Russia,http://www.perros.com/razas/laika-ruso-europeo/
lakeland terrier,2,,United Kingdom,http://www.perros.com/razas/lakeland-terrier/
landseer,3,Entre 45 Kg y 75 Kg,Germany,http://www.perros.com/razas/landseer/
lebrel hungaro,3,Entre 23 Kg y 32 Kg,Hungary,http://www.perros.com/razas/lebrel-hungaro/
leonberger,gigante,Entre 37 Kg y 68 Kg,Germany,http://www.perros.com/razas/leonberger/
lhasa apso,2,Entre 6 Kg y 7 Kg,China,http://www.perros.com/razas/lhasa-apso/
lundehund noruego,2,,Norway,http://www.perros.com/razas/lundehund-noruego/
lowchen,1,Entre 3.5 Kg y 8 Kg,France,http://www.perros.com/razas/lowchen/
